text,emotion
"Had breakfast, attended class, did some exercise.",neutral
I keep catastrophizing even small problems.,anxious
I keep catastrophizing even small problems.,anxious
Reviewed notes from lecture and planned my week.,neutral
My mind won't stop racing with what-ifs.,anxious
I feel like a burden to everyone around me.,sad
I wish someone understood what I'm going through.,sad
Helped a classmate understand a difficult concept.,neutral
I can't stop worrying about my upcoming exams.,anxious
I feel like something bad is about to happen.,anxious
I can't stand the constant pressure being put on me.,angry
I spend most days feeling numb and disconnected.,sad
Caught up on emails and updated my planner.,neutral
I don't have the energy to do anything.,sad
Worked on a coding exercise for a few hours calmly.,neutral
Finished my reading for today and went for a walk.,neutral
I have trouble sleeping because of all my worries.,anxious
I don't know how I'll manage everything this week.,anxious
I've been crying a lot without knowing why.,sad
Went to the library and worked on my project.,neutral
Worked on a coding exercise for a few hours calmly.,neutral
My classmates don't pull their weight in group work.,angry
I'm struggling to find any reason to keep going.,sad
Caught up on emails and updated my planner.,neutral
Everything feels pointless and meaningless.,sad
Today was uneventful; just routine study and rest.,neutral
"Had an average day, nothing particularly good or bad.",neutral
I don't have the energy to do anything.,sad
I had a regular day attending classes and studying.,neutral
I'm scared I'll fail and disappoint everyone.,anxious
My professors never listen to what students need.,angry
I can't focus because I'm always worried.,anxious
Life feels grey and colorless right now.,sad
My heart races whenever I think about deadlines.,anxious
I feel like a burden to everyone around me.,sad
I feel a constant sense of dread.,anxious
I feel a constant sense of dread.,anxious
I feel invisible and unimportant.,sad
Went to the library and worked on my project.,neutral
I have trouble sleeping because of all my worries.,anxious
Attended a study group session this afternoon.,neutral
I had a regular day attending classes and studying.,neutral
Spent the evening reading and listening to music.,neutral
I feel like screaming out of sheer frustration.,angry
I've stopped reaching out to friends.,sad
"Had breakfast, attended class, did some exercise.",neutral
I'm constantly on edge and can't relax.,anxious
I feel so alone even when surrounded by people.,sad
Spent the evening reading and listening to music.,neutral
I feel like screaming out of sheer frustration.,angry
Submitted a small assignment and reviewed feedback.,neutral
"I'm irritable, snapping at my friends for no reason.",angry
Nobody respects my time or boundaries.,angry
"I feel empty inside, like something is missing.",sad
I have trouble sleeping because of all my worries.,anxious
Watched a lecture online and made some notes.,neutral
Caught up on emails and updated my planner.,neutral
I'm terrified of making mistakes in front of others.,anxious
Everything and everyone is annoying me today.,angry
The pressure is making it hard to breathe.,anxious
Submitted a small assignment and reviewed feedback.,neutral
I had a regular day attending classes and studying.,neutral
I feel exploited and unappreciated.,angry
Nobody respects my time or boundaries.,angry
"Had an average day, nothing particularly good or bad.",neutral
I get angry just thinking about the injustice.,angry
I feel jittery and nervous for no clear reason.,anxious
I've been crying a lot without knowing why.,sad
I want to quit everything and walk away.,angry
I feel paralyzed by the amount of work I have.,anxious
Went to the library and worked on my project.,neutral
I'm terrified of making mistakes in front of others.,anxious
Every little thing stresses me out lately.,anxious
My grades are slipping and I feel like a failure.,sad
Submitted a small assignment and reviewed feedback.,neutral
I don't have the energy to do anything.,sad
I feel like I'm being treated unfairly.,angry
Spent the evening reading and listening to music.,neutral
I don't have the energy to do anything.,sad
Everything and everyone is annoying me today.,angry
Spent the evening reading and listening to music.,neutral
Attended a study group session this afternoon.,neutral
I hate feeling like I have no control over my life.,angry
I feel like I'm being treated unfairly.,angry
I miss feeling happy and carefree.,sad
Everything feels overwhelming and out of control.,anxious
I feel jittery and nervous for no clear reason.,anxious
I'm done with people dismissing my feelings.,angry
Organized my study schedule for the coming week.,neutral
I feel completely hopeless about my future.,sad
I feel like I'm drowning in sadness.,sad
I feel so alone even when surrounded by people.,sad
My mind won't stop racing with what-ifs.,anxious
I feel a constant sense of dread.,anxious
"Had breakfast, attended class, did some exercise.",neutral
Went to the library and worked on my project.,neutral
"I cooked dinner, studied for an hour, then relaxed.",neutral
I feel like a burden to everyone around me.,sad
My heart races whenever I think about deadlines.,anxious
"I cooked dinner, studied for an hour, then relaxed.",neutral
I've lost all motivation to study or socialize.,sad
Life feels grey and colorless right now.,sad
Why do I have to suffer while others have it easy?,angry
I'm constantly on edge and can't relax.,anxious
Submitted a small assignment and reviewed feedback.,neutral
I had a regular day attending classes and studying.,neutral
Submitted a small assignment and reviewed feedback.,neutral
Went to the library and worked on my project.,neutral
Met a friend for coffee and caught up on life.,neutral
Went to the library and worked on my project.,neutral
I can't stop worrying about my upcoming exams.,anxious
I'm resentful of how much is expected of me.,angry
Met a friend for coffee and caught up on life.,neutral
"I'm irritable, snapping at my friends for no reason.",angry
Today was uneventful; just routine study and rest.,neutral
I feel so alone even when surrounded by people.,sad
I get panic attacks whenever exams approach.,anxious
Met a friend for coffee and caught up on life.,neutral
I feel paralyzed by the amount of work I have.,anxious
Nothing seems to bring me joy anymore.,sad
I get panic attacks whenever exams approach.,anxious
I want to quit everything and walk away.,angry
I feel invisible and unimportant.,sad
I can't focus because I'm always worried.,anxious
I'm scared I'll fail and disappoint everyone.,anxious
My grades are slipping and I feel like a failure.,sad
I'm terrified of making mistakes in front of others.,anxious
"I feel empty inside, like something is missing.",sad
Submitted a small assignment and reviewed feedback.,neutral
The anxiety is affecting my physical health now.,anxious
I feel uneasy and restless all the time.,anxious
Helped a classmate understand a difficult concept.,neutral
I get angry just thinking about the injustice.,angry
I feel a constant sense of dread.,anxious
I can't stand the constant pressure being put on me.,angry
I'm terrified of making mistakes in front of others.,anxious
Today was uneventful; just routine study and rest.,neutral
Completed my assignment and took a lunch break.,neutral
I've stopped reaching out to friends.,sad
I feel uneasy and restless all the time.,anxious
Today was uneventful; just routine study and rest.,neutral
I feel like something bad is about to happen.,anxious
I want to quit everything and walk away.,angry
Met a friend for coffee and caught up on life.,neutral
The anxiety is affecting my physical health now.,anxious
The system is broken and nobody cares to fix it.,angry
I feel like screaming out of sheer frustration.,angry
"I cooked dinner, studied for an hour, then relaxed.",neutral
Spent the evening reading and listening to music.,neutral
Nothing seems to bring me joy anymore.,sad
"Had breakfast, attended class, did some exercise.",neutral
Life feels grey and colorless right now.,sad
Went to the library and worked on my project.,neutral
I'm done with people dismissing my feelings.,angry
My classmates don't pull their weight in group work.,angry
"I feel empty inside, like something is missing.",sad
Everything and everyone is annoying me today.,angry
Today was uneventful; just routine study and rest.,neutral
I feel invisible and unimportant.,sad
My mind won't stop racing with what-ifs.,anxious
Everything feels pointless and meaningless.,sad
Caught up on emails and updated my planner.,neutral
Spent the evening reading and listening to music.,neutral
Nothing seems to bring me joy anymore.,sad
My grades are slipping and I feel like a failure.,sad
Worked on a coding exercise for a few hours calmly.,neutral
I've stopped reaching out to friends.,sad
I feel paralyzed by the amount of work I have.,anxious
I wish someone understood what I'm going through.,sad
I'm fed up with being the responsible one.,angry
"Had breakfast, attended class, did some exercise.",neutral
I'm resentful of how much is expected of me.,angry
I have trouble sleeping because of all my worries.,anxious
I wish someone understood what I'm going through.,sad
I can't stand the constant pressure being put on me.,angry
Attended a study group session this afternoon.,neutral
My professors never listen to what students need.,angry
Nobody respects my time or boundaries.,angry
I miss feeling happy and carefree.,sad
I have trouble sleeping because of all my worries.,anxious
I'm struggling to find any reason to keep going.,sad
I had a regular day attending classes and studying.,neutral
"Had an average day, nothing particularly good or bad.",neutral
I don't know how I'll manage everything this week.,anxious
Submitted a small assignment and reviewed feedback.,neutral
Today was uneventful; just routine study and rest.,neutral
Finished my reading for today and went for a walk.,neutral
I'm scared I'll fail and disappoint everyone.,anxious
Every little thing stresses me out lately.,anxious
My grades are slipping and I feel like a failure.,sad
Finished my reading for today and went for a walk.,neutral
Caught up on emails and updated my planner.,neutral
My mind won't stop racing with what-ifs.,anxious
Attended a study group session this afternoon.,neutral
My professors never listen to what students need.,angry
Caught up on emails and updated my planner.,neutral
I feel completely hopeless about my future.,sad
I feel so alone even when surrounded by people.,sad
I get angry just thinking about the injustice.,angry
I keep catastrophizing even small problems.,anxious
Did some chores and reviewed last week's material.,neutral
I'm so frustrated with the unfair grading system.,angry
Life feels grey and colorless right now.,sad
Went to the library and worked on my project.,neutral
I'm struggling to find any reason to keep going.,sad
I feel so alone even when surrounded by people.,sad
I'm struggling to find any reason to keep going.,sad
Participated in a webinar related to my course.,neutral
I'm scared I'll fail and disappoint everyone.,anxious
I've lost all motivation to study or socialize.,sad
I feel like a burden to everyone around me.,sad
I keep catastrophizing even small problems.,anxious
Everything feels overwhelming and out of control.,anxious
I miss feeling happy and carefree.,sad
Went to the library and worked on my project.,neutral
Spent the evening reading and listening to music.,neutral
My mind won't stop racing with what-ifs.,anxious
Participated in a webinar related to my course.,neutral
I'm fed up with being the responsible one.,angry
I hate feeling like I have no control over my life.,angry
My professors never listen to what students need.,angry
My heart races whenever I think about deadlines.,anxious
I'm so frustrated with the unfair grading system.,angry
I feel uneasy and restless all the time.,anxious
Why do I have to suffer while others have it easy?,angry
I feel jittery and nervous for no clear reason.,anxious
I'm furious about the amount of work assigned.,angry
The anxiety is affecting my physical health now.,anxious
I keep catastrophizing even small problems.,anxious
I'm sick of pretending everything is fine.,angry
Everything feels pointless and meaningless.,sad
I have trouble sleeping because of all my worries.,anxious
I feel jittery and nervous for no clear reason.,anxious
My classmates don't pull their weight in group work.,angry
Submitted a small assignment and reviewed feedback.,neutral
The anxiety is affecting my physical health now.,anxious
I feel a constant sense of dread.,anxious
"I cooked dinner, studied for an hour, then relaxed.",neutral
I'm furious about the amount of work assigned.,angry
Everything feels overwhelming and out of control.,anxious
Worked on a coding exercise for a few hours calmly.,neutral
I'm struggling to find any reason to keep going.,sad
Today was uneventful; just routine study and rest.,neutral
I feel so alone even when surrounded by people.,sad
I can't remember the last time I smiled genuinely.,sad
Watched a lecture online and made some notes.,neutral
Completed my assignment and took a lunch break.,neutral
I feel like a burden to everyone around me.,sad
I get panic attacks whenever exams approach.,anxious
I feel paralyzed by the amount of work I have.,anxious
Attended a study group session this afternoon.,neutral
I feel completely hopeless about my future.,sad
I spend most days feeling numb and disconnected.,sad
Every little thing stresses me out lately.,anxious
I feel paralyzed by the amount of work I have.,anxious
Went to the library and worked on my project.,neutral
Did some chores and reviewed last week's material.,neutral
My classmates don't pull their weight in group work.,angry
Every little thing stresses me out lately.,anxious
I want to quit everything and walk away.,angry
I feel invisible and unimportant.,sad
I feel invisible and unimportant.,sad
I have trouble sleeping because of all my worries.,anxious
Did some chores and reviewed last week's material.,neutral
I get panic attacks whenever exams approach.,anxious
"I cooked dinner, studied for an hour, then relaxed.",neutral
Nothing seems to bring me joy anymore.,sad
"Had an average day, nothing particularly good or bad.",neutral
Met a friend for coffee and caught up on life.,neutral
Nothing seems to bring me joy anymore.,sad
The pressure is making it hard to breathe.,anxious
I get angry just thinking about the injustice.,angry
Worked on a coding exercise for a few hours calmly.,neutral
I'm resentful of how much is expected of me.,angry
I feel like something bad is about to happen.,anxious
I'm sick of pretending everything is fine.,angry
I'm scared I'll fail and disappoint everyone.,anxious
My professors never listen to what students need.,angry
I feel uneasy and restless all the time.,anxious
Everything feels pointless and meaningless.,sad
My classmates don't pull their weight in group work.,angry
Every little thing stresses me out lately.,anxious
I wish someone understood what I'm going through.,sad
I've stopped reaching out to friends.,sad
I spend most days feeling numb and disconnected.,sad
I wish someone understood what I'm going through.,sad
I'm constantly on edge and can't relax.,anxious
I feel broken and don't know how to fix myself.,sad
Today was uneventful; just routine study and rest.,neutral
I feel a constant sense of dread.,anxious
I keep catastrophizing even small problems.,anxious
My classmates don't pull their weight in group work.,angry
My mind won't stop racing with what-ifs.,anxious
I've stopped reaching out to friends.,sad
I don't know how I'll manage everything this week.,anxious
Watched a lecture online and made some notes.,neutral
"I'm irritable, snapping at my friends for no reason.",angry
I've stopped reaching out to friends.,sad
Went to the library and worked on my project.,neutral
I feel a constant sense of dread.,anxious
I get angry just thinking about the injustice.,angry
I feel uneasy and restless all the time.,anxious
I feel paralyzed by the amount of work I have.,anxious
I feel jittery and nervous for no clear reason.,anxious
Attended a study group session this afternoon.,neutral
I want to quit everything and walk away.,angry
I can't focus because I'm always worried.,anxious
I feel broken and don't know how to fix myself.,sad
I feel like a burden to everyone around me.,sad
I'm fed up with being the responsible one.,angry
I feel jittery and nervous for no clear reason.,anxious
I've lost all motivation to study or socialize.,sad
I'm terrified of making mistakes in front of others.,anxious
Everything and everyone is annoying me today.,angry
Organized my study schedule for the coming week.,neutral
I can't remember the last time I smiled genuinely.,sad
I feel like screaming out of sheer frustration.,angry
I can't remember the last time I smiled genuinely.,sad
I'm sick of pretending everything is fine.,angry
Watched a lecture online and made some notes.,neutral
"I cooked dinner, studied for an hour, then relaxed.",neutral
I have trouble sleeping because of all my worries.,anxious
The system is broken and nobody cares to fix it.,angry
Spent the evening reading and listening to music.,neutral
Attended a study group session this afternoon.,neutral
I'm sick of pretending everything is fine.,angry
"Had breakfast, attended class, did some exercise.",neutral
I hate feeling like I have no control over my life.,angry
Spent the evening reading and listening to music.,neutral
Watched a lecture online and made some notes.,neutral
I had a regular day attending classes and studying.,neutral
Did some chores and reviewed last week's material.,neutral
I feel like I'm drowning in sadness.,sad
I'm terrified of making mistakes in front of others.,anxious
I'm fed up with being the responsible one.,angry
Everything feels pointless and meaningless.,sad
My heart races whenever I think about deadlines.,anxious
I'm sick of pretending everything is fine.,angry
I'm constantly on edge and can't relax.,anxious
"Had an average day, nothing particularly good or bad.",neutral
"I'm irritable, snapping at my friends for no reason.",angry
Today was uneventful; just routine study and rest.,neutral
Finished my reading for today and went for a walk.,neutral
"I'm irritable, snapping at my friends for no reason.",angry
I miss feeling happy and carefree.,sad
I'm fed up with being the responsible one.,angry
I wish someone understood what I'm going through.,sad
My mind won't stop racing with what-ifs.,anxious
I want to quit everything and walk away.,angry
Organized my study schedule for the coming week.,neutral
My heart races whenever I think about deadlines.,anxious
I'm furious about the amount of work assigned.,angry
Nobody respects my time or boundaries.,angry
I had a regular day attending classes and studying.,neutral
Everything and everyone is annoying me today.,angry
I have trouble sleeping because of all my worries.,anxious
Life feels grey and colorless right now.,sad
I want to quit everything and walk away.,angry
The system is broken and nobody cares to fix it.,angry
I feel broken and don't know how to fix myself.,sad
I'm furious about the amount of work assigned.,angry
I feel so alone even when surrounded by people.,sad
I don't have the energy to do anything.,sad
Submitted a small assignment and reviewed feedback.,neutral
My professors never listen to what students need.,angry
"I'm irritable, snapping at my friends for no reason.",angry
The pressure is making it hard to breathe.,anxious
I've stopped reaching out to friends.,sad
I feel like screaming out of sheer frustration.,angry
I wish someone understood what I'm going through.,sad
I'm struggling to find any reason to keep going.,sad
I feel exploited and unappreciated.,angry
Nobody respects my time or boundaries.,angry
I feel exploited and unappreciated.,angry
Nothing seems to bring me joy anymore.,sad
Finished my reading for today and went for a walk.,neutral
Nothing seems to bring me joy anymore.,sad
Everything feels pointless and meaningless.,sad
Caught up on emails and updated my planner.,neutral
Why do I have to suffer while others have it easy?,angry
Worked on a coding exercise for a few hours calmly.,neutral
I feel invisible and unimportant.,sad
I'm constantly on edge and can't relax.,anxious
I can't remember the last time I smiled genuinely.,sad
Participated in a webinar related to my course.,neutral
I feel like something bad is about to happen.,anxious
I'm sick of pretending everything is fine.,angry
I feel like screaming out of sheer frustration.,angry
Life feels grey and colorless right now.,sad
I feel completely hopeless about my future.,sad
I can't stand the constant pressure being put on me.,angry
I've stopped reaching out to friends.,sad
Spent the evening reading and listening to music.,neutral
My heart races whenever I think about deadlines.,anxious
Everything feels pointless and meaningless.,sad
My professors never listen to what students need.,angry
I can't stand the constant pressure being put on me.,angry
I spend most days feeling numb and disconnected.,sad
"I feel empty inside, like something is missing.",sad
I had a regular day attending classes and studying.,neutral
Went to the library and worked on my project.,neutral
I'm furious about the amount of work assigned.,angry
The system is broken and nobody cares to fix it.,angry
I feel paralyzed by the amount of work I have.,anxious
I feel jittery and nervous for no clear reason.,anxious
I feel a constant sense of dread.,anxious
I can't stop worrying about my upcoming exams.,anxious
"Had an average day, nothing particularly good or bad.",neutral
I feel completely hopeless about my future.,sad
I want to quit everything and walk away.,angry
Completed my assignment and took a lunch break.,neutral
I keep catastrophizing even small problems.,anxious
My grades are slipping and I feel like a failure.,sad
The system is broken and nobody cares to fix it.,angry
My mind won't stop racing with what-ifs.,anxious
Organized my study schedule for the coming week.,neutral
I feel broken and don't know how to fix myself.,sad
Reviewed notes from lecture and planned my week.,neutral
I miss feeling happy and carefree.,sad
The system is broken and nobody cares to fix it.,angry
Finished my reading for today and went for a walk.,neutral
I'm so frustrated with the unfair grading system.,angry
My classmates don't pull their weight in group work.,angry
Why do I have to suffer while others have it easy?,angry
I don't have the energy to do anything.,sad
I've been crying a lot without knowing why.,sad
Everything feels pointless and meaningless.,sad
I feel like screaming out of sheer frustration.,angry
I feel exploited and unappreciated.,angry
I feel paralyzed by the amount of work I have.,anxious
My heart races whenever I think about deadlines.,anxious
"Had an average day, nothing particularly good or bad.",neutral
I've stopped reaching out to friends.,sad
Organized my study schedule for the coming week.,neutral
Worked on a coding exercise for a few hours calmly.,neutral
Every little thing stresses me out lately.,anxious
I've stopped reaching out to friends.,sad
I don't know how I'll manage everything this week.,anxious
I feel like something bad is about to happen.,anxious
I feel so alone even when surrounded by people.,sad
I feel like I'm being treated unfairly.,angry
Today was uneventful; just routine study and rest.,neutral
"I feel empty inside, like something is missing.",sad
The pressure is making it hard to breathe.,anxious
My heart races whenever I think about deadlines.,anxious
Everything feels overwhelming and out of control.,anxious
I feel a constant sense of dread.,anxious
Every little thing stresses me out lately.,anxious
I feel like I'm being treated unfairly.,angry
I feel so alone even when surrounded by people.,sad
I'm resentful of how much is expected of me.,angry
My grades are slipping and I feel like a failure.,sad
Finished my reading for today and went for a walk.,neutral
I want to quit everything and walk away.,angry
I feel like I'm being treated unfairly.,angry
I'm fed up with being the responsible one.,angry
My classmates don't pull their weight in group work.,angry
Helped a classmate understand a difficult concept.,neutral
I'm constantly on edge and can't relax.,anxious
I feel uneasy and restless all the time.,anxious
I'm furious about the amount of work assigned.,angry
"I'm irritable, snapping at my friends for no reason.",angry
I wish someone understood what I'm going through.,sad
I feel like I'm being treated unfairly.,angry
I get angry just thinking about the injustice.,angry
I feel like something bad is about to happen.,anxious
Finished my reading for today and went for a walk.,neutral
Life feels grey and colorless right now.,sad
Went to the library and worked on my project.,neutral
I'm terrified of making mistakes in front of others.,anxious
I'm furious about the amount of work assigned.,angry
Caught up on emails and updated my planner.,neutral
I can't stand the constant pressure being put on me.,angry
I feel paralyzed by the amount of work I have.,anxious
Did some chores and reviewed last week's material.,neutral
I feel like a burden to everyone around me.,sad
I feel exploited and unappreciated.,angry
I'm furious about the amount of work assigned.,angry
"I feel empty inside, like something is missing.",sad
I don't know how I'll manage everything this week.,anxious
"Had an average day, nothing particularly good or bad.",neutral
I can't focus because I'm always worried.,anxious
"I cooked dinner, studied for an hour, then relaxed.",neutral
"Had breakfast, attended class, did some exercise.",neutral
I have trouble sleeping because of all my worries.,anxious
The pressure is making it hard to breathe.,anxious
My classmates don't pull their weight in group work.,angry
"I feel empty inside, like something is missing.",sad
I feel a constant sense of dread.,anxious
I've been crying a lot without knowing why.,sad
My grades are slipping and I feel like a failure.,sad
Everything and everyone is annoying me today.,angry
I'm terrified of making mistakes in front of others.,anxious
My professors never listen to what students need.,angry
I miss feeling happy and carefree.,sad
I feel like something bad is about to happen.,anxious
I can't stop worrying about my upcoming exams.,anxious
I don't have the energy to do anything.,sad
I'm so frustrated with the unfair grading system.,angry
My heart races whenever I think about deadlines.,anxious
I'm constantly on edge and can't relax.,anxious
I feel exploited and unappreciated.,angry
I feel like a burden to everyone around me.,sad
Finished my reading for today and went for a walk.,neutral
I don't have the energy to do anything.,sad
I wish someone understood what I'm going through.,sad
I get panic attacks whenever exams approach.,anxious
My professors never listen to what students need.,angry
"I'm irritable, snapping at my friends for no reason.",angry
I've been crying a lot without knowing why.,sad
I hate feeling like I have no control over my life.,angry
Spent the evening reading and listening to music.,neutral
I'm fed up with being the responsible one.,angry
Watched a lecture online and made some notes.,neutral
Caught up on emails and updated my planner.,neutral
Today was uneventful; just routine study and rest.,neutral
I'm resentful of how much is expected of me.,angry
Participated in a webinar related to my course.,neutral
Watched a lecture online and made some notes.,neutral
I'm fed up with being the responsible one.,angry
I'm so frustrated with the unfair grading system.,angry
Completed my assignment and took a lunch break.,neutral
Spent the evening reading and listening to music.,neutral
I'm struggling to find any reason to keep going.,sad
Today was uneventful; just routine study and rest.,neutral
I feel like something bad is about to happen.,anxious
"Had breakfast, attended class, did some exercise.",neutral
Submitted a small assignment and reviewed feedback.,neutral
Everything and everyone is annoying me today.,angry
I have trouble sleeping because of all my worries.,anxious
I feel exploited and unappreciated.,angry
I'm fed up with being the responsible one.,angry
I'm scared I'll fail and disappoint everyone.,anxious
"I'm irritable, snapping at my friends for no reason.",angry
I feel like I'm drowning in sadness.,sad
Worked on a coding exercise for a few hours calmly.,neutral
My mind won't stop racing with what-ifs.,anxious
Met a friend for coffee and caught up on life.,neutral
I'm so frustrated with the unfair grading system.,angry
I've lost all motivation to study or socialize.,sad
I feel completely hopeless about my future.,sad
I spend most days feeling numb and disconnected.,sad
Every little thing stresses me out lately.,anxious
I feel like something bad is about to happen.,anxious
I'm so frustrated with the unfair grading system.,angry
I miss feeling happy and carefree.,sad
I've been crying a lot without knowing why.,sad
I had a regular day attending classes and studying.,neutral
I feel exploited and unappreciated.,angry
I feel invisible and unimportant.,sad
I'm struggling to find any reason to keep going.,sad
I wish someone understood what I'm going through.,sad
I feel like I'm being treated unfairly.,angry
I feel invisible and unimportant.,sad
I can't stand the constant pressure being put on me.,angry
Organized my study schedule for the coming week.,neutral
Spent the evening reading and listening to music.,neutral
I feel like something bad is about to happen.,anxious
I feel like a burden to everyone around me.,sad
"I cooked dinner, studied for an hour, then relaxed.",neutral
I feel like a burden to everyone around me.,sad
I get panic attacks whenever exams approach.,anxious
I feel so alone even when surrounded by people.,sad
I've been crying a lot without knowing why.,sad
I feel like a burden to everyone around me.,sad
The system is broken and nobody cares to fix it.,angry
I miss feeling happy and carefree.,sad
I'm resentful of how much is expected of me.,angry
"Had breakfast, attended class, did some exercise.",neutral
I can't stop worrying about my upcoming exams.,anxious
Reviewed notes from lecture and planned my week.,neutral
Caught up on emails and updated my planner.,neutral
Completed my assignment and took a lunch break.,neutral
Participated in a webinar related to my course.,neutral
Helped a classmate understand a difficult concept.,neutral
Completed my assignment and took a lunch break.,neutral
Watched a lecture online and made some notes.,neutral
My grades are slipping and I feel like a failure.,sad
Life feels grey and colorless right now.,sad
I can't stand the constant pressure being put on me.,angry
My grades are slipping and I feel like a failure.,sad
I'm furious about the amount of work assigned.,angry
Every little thing stresses me out lately.,anxious
I get angry just thinking about the injustice.,angry
Why do I have to suffer while others have it easy?,angry
I've stopped reaching out to friends.,sad
I don't have the energy to do anything.,sad
Nobody respects my time or boundaries.,angry
I don't know how I'll manage everything this week.,anxious
I feel so alone even when surrounded by people.,sad
I'm scared I'll fail and disappoint everyone.,anxious
Participated in a webinar related to my course.,neutral
The system is broken and nobody cares to fix it.,angry
I feel like I'm being treated unfairly.,angry
"I cooked dinner, studied for an hour, then relaxed.",neutral
I'm terrified of making mistakes in front of others.,anxious
"Had an average day, nothing particularly good or bad.",neutral
I get panic attacks whenever exams approach.,anxious
I'm done with people dismissing my feelings.,angry
My professors never listen to what students need.,angry
I've been crying a lot without knowing why.,sad
I feel exploited and unappreciated.,angry
I hate feeling like I have no control over my life.,angry
I miss feeling happy and carefree.,sad
I feel jittery and nervous for no clear reason.,anxious
I can't focus because I'm always worried.,anxious
I get panic attacks whenever exams approach.,anxious
Attended a study group session this afternoon.,neutral
The pressure is making it hard to breathe.,anxious
I can't remember the last time I smiled genuinely.,sad
I'm sick of pretending everything is fine.,angry
Watched a lecture online and made some notes.,neutral
I feel completely hopeless about my future.,sad
I don't know how I'll manage everything this week.,anxious
I feel jittery and nervous for no clear reason.,anxious
The anxiety is affecting my physical health now.,anxious
I've been crying a lot without knowing why.,sad
"I'm irritable, snapping at my friends for no reason.",angry
I can't focus because I'm always worried.,anxious
I want to quit everything and walk away.,angry
I get angry just thinking about the injustice.,angry
I feel paralyzed by the amount of work I have.,anxious
I'm furious about the amount of work assigned.,angry
Every little thing stresses me out lately.,anxious
I keep catastrophizing even small problems.,anxious
Completed my assignment and took a lunch break.,neutral
Nobody respects my time or boundaries.,angry
Submitted a small assignment and reviewed feedback.,neutral
I feel completely hopeless about my future.,sad
"Had breakfast, attended class, did some exercise.",neutral
I don't have the energy to do anything.,sad
I get angry just thinking about the injustice.,angry
Why do I have to suffer while others have it easy?,angry
I miss feeling happy and carefree.,sad
Did some chores and reviewed last week's material.,neutral
I feel uneasy and restless all the time.,anxious
Did some chores and reviewed last week's material.,neutral
Why do I have to suffer while others have it easy?,angry
My heart races whenever I think about deadlines.,anxious
I feel broken and don't know how to fix myself.,sad
I spend most days feeling numb and disconnected.,sad
Everything and everyone is annoying me today.,angry
I get panic attacks whenever exams approach.,anxious
My heart races whenever I think about deadlines.,anxious
The pressure is making it hard to breathe.,anxious
Reviewed notes from lecture and planned my week.,neutral
Watched a lecture online and made some notes.,neutral
I feel a constant sense of dread.,anxious
Nobody respects my time or boundaries.,angry
I can't stand the constant pressure being put on me.,angry
Reviewed notes from lecture and planned my week.,neutral
I had a regular day attending classes and studying.,neutral
"Had breakfast, attended class, did some exercise.",neutral
I miss feeling happy and carefree.,sad
I hate feeling like I have no control over my life.,angry
My professors never listen to what students need.,angry
I don't know how I'll manage everything this week.,anxious
I'm resentful of how much is expected of me.,angry
Today was uneventful; just routine study and rest.,neutral
I want to quit everything and walk away.,angry
Life feels grey and colorless right now.,sad
Why do I have to suffer while others have it easy?,angry
I feel like screaming out of sheer frustration.,angry
Participated in a webinar related to my course.,neutral
Worked on a coding exercise for a few hours calmly.,neutral
Attended a study group session this afternoon.,neutral
I get panic attacks whenever exams approach.,anxious
I feel paralyzed by the amount of work I have.,anxious
Nobody respects my time or boundaries.,angry
Helped a classmate understand a difficult concept.,neutral
I'm struggling to find any reason to keep going.,sad
I can't remember the last time I smiled genuinely.,sad
I feel like I'm drowning in sadness.,sad
I'm fed up with being the responsible one.,angry
The pressure is making it hard to breathe.,anxious
I'm furious about the amount of work assigned.,angry
I can't stop worrying about my upcoming exams.,anxious
"Had an average day, nothing particularly good or bad.",neutral
My mind won't stop racing with what-ifs.,anxious
Life feels grey and colorless right now.,sad
I feel a constant sense of dread.,anxious
I can't stop worrying about my upcoming exams.,anxious
"I'm irritable, snapping at my friends for no reason.",angry
Reviewed notes from lecture and planned my week.,neutral
Nothing seems to bring me joy anymore.,sad
I keep catastrophizing even small problems.,anxious
I miss feeling happy and carefree.,sad
I keep catastrophizing even small problems.,anxious
The anxiety is affecting my physical health now.,anxious
I feel invisible and unimportant.,sad
I'm so frustrated with the unfair grading system.,angry
I can't stand the constant pressure being put on me.,angry
I keep catastrophizing even small problems.,anxious
The anxiety is affecting my physical health now.,anxious
My mind won't stop racing with what-ifs.,anxious
I feel a constant sense of dread.,anxious
Everything feels overwhelming and out of control.,anxious
I feel so alone even when surrounded by people.,sad
Did some chores and reviewed last week's material.,neutral
Today was uneventful; just routine study and rest.,neutral
I have trouble sleeping because of all my worries.,anxious
Nobody respects my time or boundaries.,angry
I'm furious about the amount of work assigned.,angry
Today was uneventful; just routine study and rest.,neutral
Worked on a coding exercise for a few hours calmly.,neutral
I've stopped reaching out to friends.,sad
I don't have the energy to do anything.,sad
I feel paralyzed by the amount of work I have.,anxious
I feel paralyzed by the amount of work I have.,anxious
I don't have the energy to do anything.,sad
I'm scared I'll fail and disappoint everyone.,anxious
I feel like screaming out of sheer frustration.,angry
I get angry just thinking about the injustice.,angry
Everything feels pointless and meaningless.,sad
I'm scared I'll fail and disappoint everyone.,anxious
I feel exploited and unappreciated.,angry
I'm constantly on edge and can't relax.,anxious
I can't stand the constant pressure being put on me.,angry
